A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
29622.720768696334,32443.799226315215,0.0632702441865444,1197.1708390770168,0.0055817909687239185,0.005056556029038715
17204.282287903337,32443.626666721873,0.05904339680922343,1279.3611254792609,0.009206274475907762,0.008046853082154286
8891.171042684378,32414.398379346334,0.05319511736709144,1282.542628832708,0.00886032678682659,0.008860584571353107
9103.331497334704,32411.99832169864,0.05868226179490472,1356.1699974307319,0.010094181909294278,0.010095251911417353
27895.915131604117,32335.082336558644,0.0932984909161463,1092.3773647948747,0.004218684508879465,0.004218670446401068
9196.724237098455,32219.49160617662,0.07523041743372827,1218.2322234311282,0.011506977259916736,0.011506918672065434
8739.779574971491,32200.532014709373,0.07822692131374016,1176.034738580873,0.01215476761767576,0.012154710488640494
31039.738283558017,31924.749730677348,0.07014666149202393,1257.418798623969,0.003334821997572106,0.0035221826182760727
19425.582495683582,31924.501179222785,0.05237359643486105,1441.1365243434118,0.004644016837604157,0.004788615482308018
26178.11759976888,31831.769614741046,0.05797378825314843,1331.4202362711771,0.003452928086407385,0.0035186018167208204
16987.023095306013,31831.4602627647,0.08408793866466216,1111.4395381112902,0.0063751085326611825,0.006581182762615233
123365.71693637826,31820.541632814464,0.07469983396801191,1171.5415318440698,0.0008191156682258022,0.000819264554024869
115630.34617701678,31820.090486758294,0.07819807620624541,1145.0380812842125,0.0008941384139128632,0.0008943047305351452
18493.042513067616,31787.805933049218,0.06725231045903333,1225.690733325742,0.0051469632462296366,0.005146929479340945
8432.172499798062,31787.38851631256,0.05208983266654671,1393.5035834716007,0.00993315484236248,0.009948397766984696
15918.017378453864,31667.24413945443,0.061954644620914656,1234.0658574573606,0.005546204647696934,0.005546129943603168
9117.416516955082,31666.68147587316,0.042704153481356026,1397.8390359096275,0.007714102307946401,0.007421535243766634
17746.1484206298,31644.607546782852,0.06314176075997857,1118.5193631680213,0.004595458142738203,0.004595467614704762
25742.614527651094,31644.196643877305,0.06656800748226764,1089.3606214612257,0.00325277099724567,0.0032528429410594
8753.915869946253,31598.22056216084,0.05100154344479223,1400.4609420483425,0.009421128633629263,0.009422010718169305
11916.263039213143,31284.219727186577,0.05519602273435069,1213.4355825828743,0.006490878399166989,0.006489225955532528
110153.08416002821,31242.295504454232,0.09057917472253411,1019.8482966486042,0.0009683617267933222,0.000968358528718879
84922.83202758258,31184.795839258313,0.08284547215696278,1093.970563263207,0.0012323114192572743,0.0012323065720359846
13612.022958074269,30970.064100500767,0.06027027171904755,1097.8886488466126,0.005613297246250439,0.005613019939230648
11939.327747666104,30907.600360605535,0.0527170323711915,1219.2427187129172,0.006219839758209599,0.006212035465991121
56003.735249973564,30719.980545725226,0.06871290702632034,1110.045334617301,0.0015726535800701044,0.0015726446317337604
11547.304793263404,30585.04198982807,0.04742327457951825,1202.2826705600924,0.0056839010738821225,0.005720118783093568
8471.318837097224,30556.18898151216,0.05562826450964447,1189.0943058218245,0.009016147788172687,0.009016612312602397
6812.91115739925,30447.708729270216,0.0825435670177958,1025.4075412010586,0.014345559635891984,0.01434550545343349
10916.58221025971,30433.48046125916,0.0590912965102444,1164.027427117106,0.007275908733379788,0.007275241803372489
7901.70387482744,30427.55731959843,0.05494620679345677,1343.3888523410901,0.010785231475640977,0.010788570701108082
8109.734121783346,30162.78033454056,0.06654248229283273,918.136618392905,0.00869903680172081,0.008698965853847145
7923.721135536517,29959.20451133008,0.0554725804619097,1064.319387546948,0.008602232845586007,0.00860583520598591
17639.515916916753,29897.419974654546,0.06825935261887166,1034.6402072136734,0.004759450469332839,0.005019444909936332
15274.946211368859,29897.15321858609,0.06522940501674554,1056.21384179459,0.0053815829011583235,0.0056477875974162645
7405.771313461042,29860.475345744537,0.08580484909893636,798.3613509898206,0.010680987355806412,0.010680951455758453
34155.95156898586,29793.711024192515,0.05812552197596588,1407.3674654493236,0.0027657251744300014,0.0027652780638077116
22584.94100638711,29793.228601091927,0.04292477819532116,1245.8676939463749,0.003012136420446292,0.003085521355657374
14124.168335029859,29793.050713944507,0.053282254294689774,1141.6121636603084,0.005300049913380134,0.00571595959684477
55838.21307875348,29739.929269600143,0.0704637144861438,996.2557701562848,0.0014516962546491654,0.001451688558512734
9355.269949691294,29642.567507026062,0.06402519728216383,902.1119717338811,0.007128962098638263,0.007128913879967095
7194.657430854324,29639.764635010386,0.08940335512072681,845.9500617410669,0.012138323075112643,0.012138286042589274
7111.942661036859,29605.852319187627,0.04805570833909661,1002.0901459395214,0.007815843575475684,0.007821776942602878
10682.17114396097,29486.764694883415,0.060391735941466816,980.2604573523738,0.006399344052782143,0.006399138990047142
17353.28694584441,29415.954686112214,0.05561498424954588,1003.8915166666405,0.0039028232270342535,0.004087247376605597
13092.71862727305,29415.717801977946,0.06575893666992795,929.9457900834043,0.005586047907697402,0.0059547817337331195
14581.427450978288,29323.83327009857,0.06935379903932413,915.9792847532535,0.005030681157263702,0.005030653348286538
28616.26146007911,29302.597520588828,0.09450057275416177,865.8186168850519,0.0033015556595973185,0.003301546849948941
76105.097708978,29251.00092605867,0.07822392649269574,934.9891209752415,0.0011096932263707222,0.0011096889242577799
78474.87997685757,29249.73926387768,0.07468117761213128,968.1764715062026,0.0010639118606605325,0.0010639072951525198
9201.224537921124,28891.863156226245,0.050099723487584805,1242.2399189025894,0.007906599112515242,0.008143475006020884
11815.201998332754,28891.644184012584,0.052231987922678524,1218.1522391410751,0.00628109053972019,0.006489807250922494
13921.271192185493,28890.581353509282,0.05879003364599364,905.5792890494604,0.004416163303073679,0.004415600255170818
7944.998423957297,28869.560972847867,0.04916948611610246,1088.5330451336167,0.007793914432234749,0.007762028738152767
11446.29064382858,28799.991122775984,0.06457959806496638,1028.9080300379778,0.00670315328738006,0.006703077469362684
16796.12265582695,28718.949880912467,0.04603447784886867,1207.5368954330352,0.004596415300284311,0.0047816442977023955
41755.11731032583,28718.76792814668,0.06121746623377059,1064.9362806515962,0.0021101170212415193,0.0023041263249795343
7113.070129772556,28715.17310004558,0.08552539009701501,807.6556762254282,0.011213327713359035,0.011213292639629639
46682.611144057075,28579.549594886572,0.08519869956884679,991.4275171361649,0.002087376083731419,0.002105077477568612
9862.837769002945,28448.319633871655,0.04523414546242091,1531.0727174509316,0.008183289384025523,0.008034046553008293
8912.331223636496,28107.21649102261,0.06801415680627507,1383.4349911126483,0.012190943253265316,0.012190900234619259
31020.27732354031,28101.078496099253,0.06428316465776161,1468.135739150328,0.0035130952850866374,0.003513052837145893
